filename,label,wav_duration,file_path,folder
2011040239.wav,Aunlabelledtest,3.8702494331065758,../datasets/challenge2/set_a/Aunlabelledtest__2011040239.wav,a
20110501548.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__20110501548.wav,a
201012172010.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201012172010.wav,a
201101051105.wav,Aunlabelledtest,7.8859410430839,../datasets/challenge2/set_a/Aunlabelledtest__201101051105.wav,a
201101061552.wav,Aunlabelledtest,5.974920634920635,../datasets/challenge2/set_a/Aunlabelledtest__201101061552.wav,a
201101091156.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201101091156.wav,a
201101110659.wav,Aunlabelledtest,7.571020408163266,../datasets/challenge2/set_a/Aunlabelledtest__201101110659.wav,a
201101152256.wav,Aunlabelledtest,7.861201814058957,../datasets/challenge2/set_a/Aunlabelledtest__201101152256.wav,a
201101220549.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201101220549.wav,a
201101241434.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201101241434.wav,a
201102081033.wav,Aunlabelledtest,7.128140589569161,../datasets/challenge2/set_a/Aunlabelledtest__201102081033.wav,a
201102081045.wav,Aunlabelledtest,8.615600907029478,../datasets/challenge2/set_a/Aunlabelledtest__201102081045.wav,a
201102200848.wav,Aunlabelledtest,7.9721541950113375,../datasets/challenge2/set_a/Aunlabelledtest__201102200848.wav,a
201103011036.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201103011036.wav,a
201103140236.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201103140236.wav,a
201103170122.wav,Aunlabelledtest,8.615600907029478,../datasets/challenge2/set_a/Aunlabelledtest__201103170122.wav,a
201103200518.wav,Aunlabelledtest,8.56546485260771,../datasets/challenge2/set_a/Aunlabelledtest__201103200518.wav,a
201103201314.wav,Aunlabelledtest,1.754875283446712,../datasets/challenge2/set_a/Aunlabelledtest__201103201314.wav,a
201103232251.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201103232251.wav,a
201103241336.wav,Aunlabelledtest,7.921995464852608,../datasets/challenge2/set_a/Aunlabelledtest__201103241336.wav,a
201104012144.wav,Aunlabelledtest,5.711519274376418,../datasets/challenge2/set_a/Aunlabelledtest__201104012144.wav,a
201105011546.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201105011546.wav,a
201105031730.wav,Aunlabelledtest,7.587732426303855,../datasets/challenge2/set_a/Aunlabelledtest__201105031730.wav,a
201106010807.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106010807.wav,a
201106030607.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106030607.wav,a
201106031556.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106031556.wav,a
201106040930.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106040930.wav,a
201106061104.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106061104.wav,a
201106061215.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106061215.wav,a
201106100606.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106100606.wav,a
201106111419.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106111419.wav,a
201106120928.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106120928.wav,a
201106130440.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106130440.wav,a
201106150614.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106150614.wav,a
201106170857.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106170857.wav,a
201106171155.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106171155.wav,a
201106191034.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106191034.wav,a
201106211725.wav,Aunlabelledtest,6.526462585034014,../datasets/challenge2/set_a/Aunlabelledtest__201106211725.wav,a
201106212102.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106212102.wav,a
201108011111.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108011111.wav,a
201108011113.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108011113.wav,a
201108011116.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108011116.wav,a
201108011117.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108011117.wav,a
201108222222.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108222222.wav,a
201108222225.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108222225.wav,a
201108222228.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108222228.wav,a
201108222234.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108222234.wav,a
201108222241.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108222241.wav,a
201108222244.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108222244.wav,a
201108222247.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108222247.wav,a
201108222254.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108222254.wav,a
201108222257.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108222257.wav,a
